Url,Title,Description,PriceList,Ratings,No of reiviewa
https://www.amazon.in/Martucci-Laptop-Backpack-College-Reflective/dp/B0B7DT6HY3/ref=sr_1_49?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-49,Martucci,Large 35 L Laptop Backpack Spacy Unisex Laptop/College/School/Travel Backpack with Rain Cover and Reflective Strip ,769,4.5 out of 5 stars,102
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_50?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-50,WildHorn,31L Water Resistant Office Laptop Bag / Backpack for Men / Women I Travel / Business / College Bookbags Fit 15.6 Inch Laptop ,509,4.1 out of 5 stars,53
https://www.amazon.in/Genie-Spritz-Daypack-Fashion-Backpack/dp/B083ZDV5FK/ref=sr_1_51?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-51,Genie,Spritz Navy Blue 13.5 Litres Daypack (Casual Fashion Backpack For Girls/Women) ,275,4.2 out of 5 stars,861
https://www.amazon.in/Genie-Spritz-Daypack-Fashion-Backpack/dp/B083ZDT8SD/ref=sr_1_52?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-52,Genie,"Spritz Daypack 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags for Travelling Purpose. Latest Collection of Backpack for women (Rose) ",275,4.3 out of 5 stars,964
https://www.amazon.in/Hyper-Adam-Rucksack-Backpack-Trekking/dp/B07PJCH3VZ/ref=sr_1_53?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-53,Hyper Adam,65 LTR Rucksack Travel Backpack for Outdoor Sport Hiking Trekking Bag Camping Rucksack ,939,4.1 out of 5 stars,"3,721"
https://www.amazon.in/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2/ref=sr_1_54?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&smid=A20PVHIS8DLHRJ&sr=1-54,KILLER,Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack ,"1,699",4.4 out of 5 stars,"10,554"
https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_55?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-55,Genie,"Flamenco Laptop Bag, 16 inch large Laptop Backpack, Sky Blue Office, College, School Backpack for Women, Water Resistant and Lightweight Bag ",549,4.4 out of 5 stars,817
https://www.amazon.in/Girls-1522-Polyester-Designer-Waterproof-Bag-Backpack/dp/B08F9SFYXQ/ref=sr_1_56?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-56,BEAUTY GIRLS,1522 Polyester Floral printed Designer Stylish Waterproof School/Collage/Picnic Bag-Backpack For Girls & Women (32 Lit) ,729,4.2 out of 5 stars,649
https://www.amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_57?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-57,DIVING DEEP,Women Backpack Latest School Bag for Girls (Black) ,391,3.3 out of 5 stars,"1,315"
https://www.amazon.in/BEAUTY-GIRLS-HOTSHOT-backpack-Waterproof/dp/B09J4Y14VJ/ref=sr_1_58?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-58,BEAUTY GIRLS,By HOTSHOT || Small 15 Liter Girls bag ||Girls college bag || Girls school bag || Girls Tution bag || Girls backpack Waterproof School Bag ,299,3.8 out of 5 stars,248
https://www.amazon.in/Skybags-BPFUS27EMGT-FUSE-BACKPACK-MAGNET/dp/B0B3XYM2VG/ref=sr_1_59?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-59,Skybags,FUSE 27L BACKPACK MAGNET ,889,4.0 out of 5 stars,24
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_60?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-60,AirCase,13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women ,859,4.1 out of 5 stars,"1,395"
