URL, Manufacturer, ASIN, Product Dimensions, Country of Origin
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_49?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-49,B09H7PK5ML,1,43 x 30 x 12 cm; 620 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B08PD87QWP/ref=sr_1_50?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-50,B08PD87QWP,TRAWOC,25 x 36 x 70 cm; 800 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/Fur-Jaden-Waterproof-Charging-BM30_Navy/dp/B07G4G3NPD/ref=sr_1_51?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-51,B07G4G3NPD,Fur Jaden,30 x 15 x 42 cm; 390 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/Fur-Jaden-Backpack-Trekking-BM38_Brown/dp/B07LBMV4NR/ref=sr_1_52?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-52,B07LBMV4NR,Fur Jaden,30 x 17 x 42 cm; 700 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_53?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-53,B012D4QWES,Wildcraft,48 x 38 x 6 cm; 520 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/POLESTAR-backpack-Backpack-College-Students/dp/B08X2KR6T9/ref=sr_1_54?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-54,B08X2KR6T9,POLESTAR,48 x 32 x 24 cm; 630 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_55?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-55,B09B29F66W,Safari Industries,32 x 46 x 16 cm; 350 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX/ref=sr_1_58?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-58,B084T7X2HX,NULL,16 x 22 x 5 cm; 400 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/POLESTAR-Casual-Backpack-School-bagpack/dp/B07QXTZXSY/ref=sr_1_59?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-59,B07QXTZXSY,POLESTAR,26 x 35 x 48 cm; 560 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6/ref=sr_1_63?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664038762&s=luggage&sr=1-63,B097JMR4M6,Safari,49 x 22 x 32 cm; 920 Grams,"['India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Hong Kong', 'China', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'Vietnam', 'NULL', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'Bangladesh', 'China', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'China', 'India', 'India', 'NULL', 'China', 'India', 'India', 'China', 'India', 'NULL', 'India', 'India', 'India', 'India', 'India', 'Bangladesh', 'India', 'India', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'China', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'India', 'NULL', 'India', 'India', 'India', 'India', 'Bangladesh', 'Bangladesh', 'India', 'India', 'China', 'India']"
